x,y,z,grade,f1
473869.230000,7479642.038000,1647.500000,-99.000000,-99
473879.065000,7479646.252000,1647.500000,-99.000000,-99
473840.992000,7479640.021000,1647.500000,0.287316,-99
473850.828000,7479644.235000,1647.500000,0.283963,-99
473860.663000,7479648.449000,1647.500000,0.264819,-99
473870.498000,7479652.663000,1647.500000,-99.000000,-99
473842.261000,7479650.646000,1647.500000,0.293332,-99
473852.096000,7479654.859000,1647.500000,0.291243,-99
473861.931000,7479659.073000,1647.500000,0.273611,-99
473871.767000,7479663.287000,1647.500000,-99.000000,-99
473843.529000,7479661.270000,1647.500000,0.303547,-99
473853.364000,7479665.484000,1647.500000,0.303700,-99
473863.200000,7479669.698000,1647.500000,-99.000000,-99
473873.035000,7479673.912000,1647.500000,-99.000000,-99
473844.797000,7479671.895000,1647.500000,0.316510,-99
473848.603000,7479703.768000,1647.500000,-99.000000,-99
473854.633000,7479676.109000,1647.500000,0.320962,-99
473855.901000,7479686.733000,1647.500000,-99.000000,-99
473857.169000,7479697.358000,1647.500000,-99.000000,-99
473859.706000,7479718.607000,1647.500000,0.319969,-99
473735.143000,7479598.019000,1632.500000,0.337639,-99
473735.715000,7479616.543000,1632.500000,0.341720,-99
473730.081000,7479607.446000,1632.500000,0.349294,-99
473729.510000,7479588.921000,1632.500000,0.340406,-99
473689.730000,7479274.671000,1632.500000,0.595798,-99
473690.605000,7479256.147000,1632.500000,0.570429,-99
473697.264000,7479237.623000,1632.500000,0.521700,-99
473717.511000,7479199.915000,1632.500000,0.552741,-99
473718.082000,7479218.439000,1632.500000,0.523821,-99
473738.901000,7479199.255000,1632.500000,0.593752,-99
473741.105000,7479097.207000,1632.500000,0.857850,-99
473778.823000,7479105.315000,1632.500000,1.004013,-99
473757.433000,7479105.974000,1632.500000,1.061965,-99
473737.758000,7479162.207000,1632.500000,0.738316,-99
473741.677000,7479115.731000,1632.500000,0.824604,-99
473758.576000,7479143.023000,1632.500000,0.903393,-99
473715.797000,7479144.342000,1632.500000,0.692042,-99
473710.735000,7479153.769000,1632.500000,0.560502,-99
473737.186000,7479143.682000,1632.500000,0.785852,-99
473759.148000,7479161.547000,1632.500000,0.822175,-99
473722.572000,7479190.488000,1632.500000,0.570604,-99
473720.642000,7479096.958000,1632.500000,0.802535,-99
473733.267000,7479190.158000,1632.500000,0.591188,-99
473716.939000,7479181.390000,1632.500000,0.539705,-99
473738.329000,7479180.731000,1632.500000,0.611998,-99
473722.001000,7479171.963000,1632.500000,0.556750,-99
473732.696000,7479171.634000,1632.500000,0.644865,-99
473743.391000,7479171.304000,1632.500000,0.735743,-99
473754.086000,7479170.974000,1632.500000,0.782695,-99
473748.453000,7479161.877000,1632.500000,0.787770,-99
473721.430000,7479153.439000,1632.500000,0.615666,-99
473732.125000,7479153.109000,1632.500000,0.735627,-99
473753.514000,7479152.450000,1632.500000,0.844302,-99
473707.731000,7479144.192000,1632.500000,0.627711,-99
473726.491000,7479144.012000,1632.500000,0.728031,-99
473747.881000,7479143.353000,1632.500000,0.833965,-99
473742.248000,7479134.255000,1632.500000,0.824741,-99
473752.943000,7479133.925000,1632.500000,0.870271,-99
473774.333000,7479133.266000,1632.500000,0.976376,-99
473785.028000,7479132.936000,1632.500000,0.953058,-99
473790.090000,7479123.509000,1632.500000,0.940330,-99
473779.395000,7479123.839000,1632.500000,0.973225,-99
473758.005000,7479124.498000,1632.500000,0.917153,-99
473736.615000,7479125.158000,1632.500000,0.754311,-99
473752.372000,7479115.401000,1632.500000,0.906789,-99
473725.920000,7479125.488000,1632.500000,0.792913,-99
473715.225000,7479125.818000,1632.500000,0.774769,-99
473708.271000,7479126.177000,1632.500000,0.737644,-99
473712.551000,7479115.812000,1632.500000,0.753631,-99
473720.287000,7479116.391000,1632.500000,0.777946,-99
473730.982000,7479116.061000,1632.500000,0.822241,-99
473763.067000,7479115.071000,1632.500000,0.995683,-99
473725.349000,7479106.964000,1632.500000,0.810278,-99
473736.044000,7479106.634000,1632.500000,0.860981,-99
473815.970000,7479094.898000,1632.500000,0.802069,-99
473810.908000,7479104.325000,1632.500000,0.836488,-99
473768.128000,7479105.644000,1632.500000,1.130582,-99
473773.761000,7479114.742000,1632.500000,1.020419,-99
473730.410000,7479097.537000,1632.500000,0.829017,-99
473805.275000,7479095.228000,1632.500000,0.808059,-99
473702.316000,7479190.683000,1632.500000,0.457964,-99
473706.244000,7479181.720000,1632.500000,0.452957,-99
473703.869000,7479170.884000,1632.500000,0.505626,-99
473710.163000,7479135.245000,1632.500000,0.667685,-99
473720.858000,7479134.915000,1632.500000,0.741716,-99
473719.033000,7479020.382000,1632.500000,0.463774,-99
473734.686000,7479052.309000,1632.500000,0.609632,-99
473739.748000,7479041.631000,1632.500000,0.561438,-99
473734.901000,7479069.586000,1632.500000,0.691158,-99
473756.291000,7479068.926000,1632.500000,0.817451,-99
473720.663000,7479042.765000,1632.500000,0.566385,-99
473740.534000,7479078.683000,1632.500000,0.767582,-99
473724.777000,7479088.440000,1632.500000,0.807697,-99
473733.092000,7479034.957000,1632.500000,0.541134,-99
473668.520000,7479056.415000,1632.500000,0.645251,-99
473658.089000,7479073.819000,1632.500000,0.758648,-99
473634.089000,7479084.150000,1632.500000,0.734997,-99
473636.519000,7479078.639000,1632.500000,0.743209,-99
473638.923000,7479073.134000,1632.500000,0.747192,-99
473641.185000,7479067.577000,1632.500000,0.720975,-99
473643.286000,7479061.962000,1632.500000,0.705698,-99
473642.151000,7479080.720000,1632.500000,0.792625,-99
473648.813000,7479049.156000,1632.500000,0.676835,-99
473651.297000,7479042.624000,1632.500000,0.640892,-99
473653.779000,7479036.075000,1632.500000,0.610709,-99
473644.561000,7479075.232000,1632.500000,0.784917,-99
473646.794000,7479069.642000,1632.500000,0.740898,-99
473648.917000,7479064.035000,1632.500000,0.718440,-99
473652.895000,7479058.120000,1632.500000,0.700285,-99
473655.379000,7479051.568000,1632.500000,0.686031,-99
473657.875000,7479045.016000,1632.500000,0.645154,-99
473660.361000,7479038.458000,1632.500000,0.607438,-99
473647.789000,7479082.798000,1632.500000,0.821112,-99
473650.209000,7479077.291000,1632.500000,0.798103,-99
473652.516000,7479071.694000,1632.500000,0.754929,-99
473654.535000,7479066.103000,1632.500000,0.721307,-99
473659.465000,7479060.540000,1632.500000,0.693602,-99
473661.955000,7479053.995000,1632.500000,0.664373,-99
473664.428000,7479047.455000,1632.500000,0.630561,-99
473651.013000,7479090.382000,1632.500000,0.869100,-99
473653.429000,7479084.877000,1632.500000,0.835813,-99
473655.844000,7479079.371000,1632.500000,0.790108,-99
473671.014000,7479049.872000,1632.500000,0.620490,-99
473656.654000,7479092.457000,1632.500000,0.874791,-99
473659.058000,7479086.945000,1632.500000,0.830805,-99
473675.092000,7479058.833000,1632.500000,0.636123,-99
473677.580000,7479052.290000,1632.500000,0.605984,-99
473663.950000,7479016.143000,1632.500000,0.547764,-99
473675.626000,7479036.508000,1632.500000,0.552964,-99
473669.043000,7479034.076000,1632.500000,0.564284,-99
473655.926000,7479029.214000,1632.500000,0.582911,-99
473661.834000,7479021.758000,1632.500000,0.547884,-99
473682.190000,7479038.910000,1632.500000,0.550919,-99
473687.137000,7479024.782000,1632.500000,0.483957,-99
473668.182000,7479004.914000,1632.500000,0.501852,-99
473681.744000,7479014.648000,1632.500000,0.466030,-99
473693.123000,7479012.592000,1632.500000,0.391492,-99
473689.124000,7479000.375000,1632.500000,0.309324,-99
473693.455000,7478992.304000,1632.500000,0.300112,-99
473705.449000,7479029.633000,1632.500000,0.512914,-99
473702.046000,7479039.778000,1632.500000,0.552493,-99
473678.683000,7479022.533000,1632.500000,0.512696,-99
473677.050000,7479004.158000,1632.500000,0.464205,-99
473680.589000,7478996.301000,1632.500000,0.352542,-99
473698.600000,7478985.625000,1632.500000,0.311698,-99
473655.164000,7479208.510000,1632.500000,0.424483,-99
473657.141000,7479194.651000,1632.500000,0.405254,-99
473659.118000,7479180.791000,1632.500000,0.368712,-99
473665.106000,7479259.294000,1632.500000,0.545564,-99
473682.509000,7479274.658000,1632.500000,0.583278,-99
473684.513000,7479253.361000,1632.500000,0.568509,-99
473676.647000,7479240.383000,1632.500000,0.486503,-99
473687.050000,7479232.113000,1632.500000,0.475587,-99
473696.117000,7479168.556000,1632.500000,0.436780,-99
473700.651000,7479136.778000,1632.500000,0.581110,-99
473705.866000,7479116.112000,1632.500000,0.739296,-99
473661.096000,7479166.931000,1632.500000,0.388178,-99
473663.073000,7479153.072000,1632.500000,0.529120,-99
473665.051000,7479139.212000,1632.500000,0.615602,-99
473667.028000,7479125.352000,1632.500000,0.712143,-99
473670.486000,7479111.844000,1632.500000,0.756415,-99
473685.546000,7479176.805000,1632.500000,0.415753,-99
473670.199000,7479152.690000,1632.500000,0.549016,-99
473674.821000,7479120.933000,1632.500000,0.707742,-99
473681.021000,7479142.683000,1632.500000,0.585619,-99
473691.592000,7479134.434000,1632.500000,0.594186,-99
473667.556000,7479238.035000,1632.500000,0.460928,-99
473647.371000,7479480.774000,1632.500000,0.380039,-99
473657.000000,7479514.000000,1632.500000,0.387571,-99
473660.000000,7479536.000000,1632.500000,0.407714,-99
473663.000000,7479557.000000,1632.500000,0.413663,-99
473669.000000,7479599.000000,1632.500000,0.428225,-99
473676.000000,7479517.000000,1632.500000,0.384127,-99
473683.000000,7479560.000000,1632.500000,0.415433,-99
473686.000000,7479581.000000,1632.500000,0.414294,-99
473688.000000,7479602.000000,1632.500000,0.397046,-99
473691.000000,7479623.000000,1632.500000,0.396534,-99
473705.000000,7479586.000000,1632.500000,0.382616,-99
473708.000000,7479606.000000,1632.500000,0.374741,-99
473706.404000,7479668.494000,1632.500000,0.363488,-99
473718.989000,7479671.540000,1632.500000,0.346695,-99
473738.954000,7479671.126000,1632.500000,0.336574,-99
473683.123000,7479578.969000,1647.500000,0.446480,-99
473709.588000,7479560.803000,1647.500000,0.447411,-99
473689.445000,7479540.911000,1647.500000,0.460296,-99
473737.720000,7479563.972000,1647.500000,0.402901,-99
473678.123000,7479514.964000,1647.500000,0.400658,-99
473874.041000,7479804.617000,1647.500000,-99.000000,-99
473894.890000,7479809.449000,1647.500000,-99.000000,-99
473898.009000,7479819.684000,1647.500000,-99.000000,-99
473902.554000,7479950.752000,1647.500000,-99.000000,42
473919.581000,7479941.102000,1647.500000,-99.000000,42
473919.425000,7479960.673000,1647.500000,-99.000000,42
473902.397000,7479970.324000,1647.500000,-99.000000,42
473963.999000,7480039.320000,1647.500000,-99.000000,41
473975.299000,7480039.410000,1647.500000,-99.000000,41
